"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "TypeScript", "JSON", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\backend\vercel.json", "JSON", 0, 0, 0, 0, 0, -14, 0, 0, -1, -15
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3819, 0, 0, 0, 3819
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\App.css", "PostCSS", 0, 0, 227, 0, 0, 0, 0, 11, 64, 302
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\App.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\EditLanguageModal.jsx", "JavaScript JSX", 0, 171, 0, 0, 0, 0, 0, 0, 20, 191
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\ExtractExampleSentencesFromCorpus.jsx", "JavaScript JSX", 0, 194, 0, 0, 0, 0, 0, 11, 39, 244
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\PaginatedGeneratedLanguage.jsx", "JavaScript JSX", 0, 550, 0, 0, 0, 0, 0, 0, 15, 565
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\addEtymologyModal.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 4, 4, 33
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\addGroupModal.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\addInterfaceLanguageModal.jsx", "JavaScript JSX", 0, 150, 0, 0, 0, 0, 0, 1, 19, 170
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\addLanguageModal.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 0, 0, 0, 5, 63
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\addTextModal.jsx", "JavaScript JSX", 0, 132, 0, 0, 0, 0, 0, 0, 22, 154
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\addWordModal.jsx", "JavaScript JSX", 0, 227, 0, 0, 0, 0, 0, 4, 28, 259
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\collapsable.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\customToolbar.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\deleteEtymologyModal.jsx", "JavaScript JSX", 0, 89, 0, 0, 0, 0, 0, 0, 13, 102
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\editEtymologyModal.jsx", "JavaScript JSX", 0, 345, 0, 0, 0, 0, 0, 2, 34, 381
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\editGroupModal.jsx", "JavaScript JSX", 0, -2, 0, 0, 0, 0, 0, 0, 1, -1
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\editInterfaceLanguageModal.jsx", "JavaScript JSX", 0, 174, 0, 0, 0, 0, 0, 2, 23, 199
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\editTextModal.jsx", "JavaScript JSX", 0, 157, 0, 0, 0, 0, 0, 0, 29, 186
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\editWordModal.jsx", "JavaScript JSX", 0, 290, 0, 0, 0, 0, 0, 1, 45, 336
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\findWordsDescendants.jsx", "JavaScript JSX", 0, 251, 0, 0, 0, 0, 0, 2, 17, 270
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\generateWord.jsx", "JavaScript JSX", 0, 275, 0, 0, 0, 0, 0, 11, 30, 316
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\getDerivationRoots.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 7, 58
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\groupSelector.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\languageSelector.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 19, 2, 38
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\makeSpelling.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 3, 6, 32
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\navbar.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, -12, 2, 15
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\orthography.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 0, 0, 6, 15, 59
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\paginateDictionary.jsx", "JavaScript JSX", 0, 2368, 0, 0, 0, 0, 0, 121, 48, 2537
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\pagination.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 0, 0, 2, 12, 67
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\parentLanguageModal.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 10, 95
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\printOptions.jsx", "JavaScript JSX", 0, 305, 0, 0, 0, 0, 0, 8, 59, 372
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\savePhonologyModal.jsx", "JavaScript JSX", 0, 230, 0, 0, 0, 0, 0, 0, 29, 259
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\selectPhonology.jsx", "JavaScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 16, 109
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\sourcesModal.jsx", "JavaScript JSX", 0, 225, 0, 0, 0, 0, 0, 0, 27, 252
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\spellingCreator.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 0, 4, 12, 67
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\statModal.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 5, 78
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\supabaseClient.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\syllableCategories.jsx", "JavaScript JSX", 0, 132, 0, 0, 0, 0, 0, 5, 24, 161
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\syllableCategoriesAffix.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 0, 0, 5, 18, 105
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\wordRow.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 0, 0, 0, 20, 132
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\wordSelector.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\wordWithTooltip.jsx", "JavaScript JSX", 0, 135, 0, 0, 0, 0, 0, 1, 17, 153
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\TranslateUI.jsx", "JavaScript JSX", 0, 102, 0, 0, 0, 0, 0, 2, 28, 132
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\applyProsody.jsx", "JavaScript JSX", 0, 186, 0, 0, 0, 0, 0, 49, 51, 286
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\createDerivations.jsx", "JavaScript JSX", 0, 12801, 0, 0, 0, 0, 0, 42, 333, 13176
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\formatMeaning.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 8, 34
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\phonologyWeight.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 4, 8, 31
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\removeNotation.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 1, 6, 28
