Date : 2026-01-01 21:20:35
Directory : c:\Users\awowi\Documents\GitHub\Elatha
Total : 156 files,  7285255 codes, 720 comments, 2514 blanks, all 7288489 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         80 |  4,999,231 |        244 |      1,302 |  5,000,777 |
| JSON           |         11 |  2,935,004 |          0 |        520 |  2,935,524 |
| JavaScript JSX |         61 |     48,519 |        473 |        585 |     49,577 |
| Markdown       |          1 |        340 |          0 |         67 |        407 |
| PostCSS        |          1 |        147 |          3 |         42 |        192 |
| XML            |          1 |          4 |          0 |          0 |          4 |
| JSON Lines     |          1 |   -697,990 |          0 |         -2 |   -697,992 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        156 |  7,285,255 |        720 |      2,514 |  7,288,489 |
| . (Files)                                                                                                     |          2 |        348 |          0 |         68 |        416 |
| backend                                                                                                       |         73 |    703,682 |        202 |      1,138 |    705,022 |
| backend (Files)                                                                                               |          5 |    698,920 |          8 |        109 |    699,037 |
| backend\api                                                                                                   |          1 |          3 |          0 |          2 |          5 |
| backend\api-routes                                                                                            |         67 |      4,759 |        194 |      1,027 |      5,980 |
| frontend                                                                                                      |         81 |  6,581,225 |        518 |      1,308 |  6,583,051 |
| frontend (Files)                                                                                              |          2 |        114 |          0 |          0 |        114 |
| frontend\public                                                                                               |          3 |  4,061,563 |          0 |        600 |  4,062,163 |
| frontend\src                                                                                                  |         76 |  2,519,548 |        518 |        708 |  2,520,774 |
| frontend\src (Files)                                                                                          |          2 |        161 |          3 |         40 |        204 |
| frontend\src\Components                                                                                       |         27 |      2,423 |         69 |        237 |      2,729 |
| frontend\src\Functions                                                                                        |         17 |    -50,341 |         75 |        -87 |    -50,353 |
| frontend\src\Functions (Files)                                                                                |         11 |    -50,598 |         33 |       -163 |    -50,728 |
| frontend\src\Functions\prosody                                                                                |          6 |        257 |         42 |         76 |        375 |
